,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l,param_reg,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,11.743135213851929,0.39680860156340125,0.14439213275909424,0.006274797854457372,0.1,<class 'tensorflow.python.keras.regularizers.L1'>,"{'l': 0.1, 'reg': <class 'tensorflow.python.keras.regularizers.L1'>}",0.320499986410141,0.335999995470047,0.3140000104904175,0.3305000066757202,0.3252499997615814,0.008547658535685366,11
1,11.804893672466278,0.15512571858644708,0.14423590898513794,0.008222645890015283,0.1,<class 'tensorflow.python.keras.regularizers.L2'>,"{'l': 0.1, 'reg': <class 'tensorflow.python.keras.regularizers.L2'>}",0.7129999995231628,0.6915000081062317,0.6825000047683716,0.7225000262260437,0.7023750096559525,0.01605605944505503,7
2,15.555041670799255,4.6640625628657615,0.18038535118103027,0.043716430966051566,0.1,<function l1_l2 at 0x7fa2bbcd2550>,"{'l': 0.1, 'reg': <function l1_l2 at 0x7fa2bbcd2550>}",0.320499986410141,0.335999995470047,0.3140000104904175,0.3305000066757202,0.3252499997615814,0.008547658535685366,11
3,15.651339828968048,4.081975891053869,0.18879961967468262,0.04038421713776058,0.01,<class 'tensorflow.python.keras.regularizers.L1'>,"{'l': 0.01, 'reg': <class 'tensorflow.python.keras.regularizers.L1'>}",0.6729999780654907,0.5394999980926514,0.6809999942779541,0.5525000095367432,0.6114999949932098,0.06572194393049782,10
4,12.064559161663055,1.45605497298468,0.16286617517471313,0.03174688696954238,0.01,<class 'tensorflow.python.keras.regularizers.L2'>,"{'l': 0.01, 'reg': <class 'tensorflow.python.keras.regularizers.L2'>}",0.6880000233650208,0.7120000123977661,0.7179999947547913,0.7319999933242798,0.7125000059604645,0.01589810149566971,3
5,14.771484136581421,4.22469113625609,0.17296141386032104,0.03172455954960195,0.01,<function l1_l2 at 0x7fa2bbcd2550>,"{'l': 0.01, 'reg': <function l1_l2 at 0x7fa2bbcd2550>}",0.7049999833106995,0.5504999756813049,0.7254999876022339,0.7179999947547913,0.6747499853372574,0.07210973117653646,8
6,16.28693413734436,3.8321318698473243,0.16869479417800903,0.03550733343961373,0.001,<class 'tensorflow.python.keras.regularizers.L1'>,"{'l': 0.001, 'reg': <class 'tensorflow.python.keras.regularizers.L1'>}",0.6949999928474426,0.6919999718666077,0.7335000038146973,0.6980000138282776,0.7046249955892563,0.016805418658352025,6
7,15.99965351819992,3.61614185799448,0.18771064281463623,0.06282750676536501,0.001,<class 'tensorflow.python.keras.regularizers.L2'>,"{'l': 0.001, 'reg': <class 'tensorflow.python.keras.regularizers.L2'>}",0.6884999871253967,0.7254999876022339,0.6970000267028809,0.7455000281333923,0.714125007390976,0.02271392044855172,2
8,14.526269018650055,4.302998015544555,0.19249320030212402,0.048365298134194226,0.001,<function l1_l2 at 0x7fa2bbcd2550>,"{'l': 0.001, 'reg': <function l1_l2 at 0x7fa2bbcd2550>}",0.6930000185966492,0.7164999842643738,0.6945000290870667,0.7444999814033508,0.7121250033378601,0.02087872374895702,4
9,13.789651989936829,3.2900079572623597,0.17243963479995728,0.03612040911034542,0.0001,<class 'tensorflow.python.keras.regularizers.L1'>,"{'l': 0.0001, 'reg': <class 'tensorflow.python.keras.regularizers.L1'>}",0.684499979019165,0.7124999761581421,0.7195000052452087,0.7789999842643738,0.7238749861717224,0.03441543227207517,1
10,15.346722424030304,4.1846437917145805,0.15826308727264404,0.03347908527394596,0.0001,<class 'tensorflow.python.keras.regularizers.L2'>,"{'l': 0.0001, 'reg': <class 'tensorflow.python.keras.regularizers.L2'>}",0.5414999723434448,0.7124999761581421,0.7245000004768372,0.7145000100135803,0.6732499897480011,0.07620163431796204,9
11,16.200688898563385,4.5844057238611935,0.18290799856185913,0.044823750867168694,0.0001,<function l1_l2 at 0x7fa2bbcd2550>,"{'l': 0.0001, 'reg': <function l1_l2 at 0x7fa2bbcd2550>}",0.6949999928474426,0.7170000076293945,0.7315000295639038,0.6980000138282776,0.7103750109672546,0.01482977349672253,5
